district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Jur River,2019-10-01,28.02439,7.592506,3.0,10091.04,82642.0,Jur River,2019-10-01,24,3.62,4.3803392947895746e-05,0.00035873408489115095,0.4420217903729339,0.00029040923501367344,0.002378347524140227,2.930531206892379
Jur River,2020-02-01,28.02439,7.592506,2.0,10091.04,149820.6,Jur River,2020-02-01,4,0.75,5.0059871606441305e-06,7.43233601293821e-05,0.05051561667754635,2.6698598190102027e-05,0.0003963912540233712,0.2694166222802472
Aweil North,2012-10-01,26.72969,9.334756,3.0,6369.012,141848.0,Aweil North,2012-10-01,2,0.5,3.5248998928430434e-06,7.850511193886902e-05,0.022450129716316054,1.4099599571372173e-05,0.00031402044775547607,0.08980051886526422
Aweil North,2013-04-01,26.72969,9.334756,2.0,6369.012,139786.0,Aweil North,2013-04-01,5,3.0,2.146137667577583e-05,0.0004710306716332141,0.13668776558453635,3.576896112629305e-05,0.0007850511193886902,0.2278129426408939
Aweil North,2013-07-01,26.72969,9.334756,2.0,6369.012,139786.0,Aweil North,2013-07-01,2,2.0,1.4307584450517219e-05,0.00031402044775547607,0.09112517705635757,1.4307584450517219e-05,0.00031402044775547607,0.09112517705635757
Aweil North,2016-10-01,26.72969,9.334756,3.0,6369.012,303298.0,Aweil North,2016-10-01,5,0.0,0.0,0.0,0.0,1.6485436765161655e-05,0.0007850511193886902,0.10499594458255576
Aweil North,2017-02-01,26.72969,9.334756,3.0,6369.012,470933.0,Aweil North,2017-02-01,3,0.33,7.007366228316979e-07,5.1813373879653555e-05,0.004462999959654558,6.370332934833618e-06,0.0004710306716332141,0.040572726905950526
Aweil North,2017-10-01,26.72969,9.334756,3.0,6369.012,470933.0,Aweil North,2017-10-01,2,0.0,0.0,0.0,0.0,4.246888623222412e-06,0.00031402044775547607,0.027048484603967016
Morobo,2012-04-01,30.83354,3.737241,1.0,1350.326,136563.0,Morobo,2012-04-01,1,2.0,1.4645255303413077e-05,0.0014811238175077722,0.019775869012836567,7.322627651706539e-06,0.0007405619087538861,0.009887934506418283
Morobo,2015-10-01,30.83354,3.737241,1.0,1350.326,149754.0,Morobo,2015-10-01,1,5.0,3.338808980060633e-05,0.0037028095437694306,0.045084805748093544,6.677617960121266e-06,0.0007405619087538861,0.009016961149618708
Morobo,2016-06-01,30.83354,3.737241,1.0,1350.326,165853.0,Morobo,2016-06-01,2,0.5,3.0147178525561793e-06,0.00037028095437694305,0.004070851898970776,1.2058871410224717e-05,0.0014811238175077722,0.016283407595883103
Morobo,2016-10-01,30.83354,3.737241,2.0,1350.326,165853.0,Morobo,2016-10-01,2,1.0,6.0294357051123586e-06,0.0007405619087538861,0.008141703797941552,1.2058871410224717e-05,0.0014811238175077722,0.016283407595883103
Morobo,2017-02-01,30.83354,3.737241,3.0,1350.326,181952.0,Morobo,2017-02-01,12,1.75,9.617921209989448e-06,0.0012959833403193006,0.012987329075800212,6.595145972564193e-05,0.008886742905046633,0.08905597080548718
Morobo,2017-06-01,30.83354,3.737241,3.0,1350.326,181952.0,Morobo,2017-06-01,16,6.0,3.2975729862820967e-05,0.004443371452523316,0.04452798540274359,8.793527963418924e-05,0.011848990540062177,0.11874129440731622
Morobo,2017-10-01,30.83354,3.737241,3.0,1350.326,181952.0,Morobo,2017-10-01,15,3.33,1.8301530073865636e-05,0.002466071156150441,0.02471303189852269,8.243932465705241e-05,0.011108428631308292,0.11131996350685897
Morobo,2018-02-01,30.83354,3.737241,3.0,1350.326,198051.0,Morobo,2018-02-01,17,3.59,1.8126644147214605e-05,0.002658617252426451,0.024476878884731712,8.583647646313324e-05,0.012589552448816063,0.11590722591655686
Morobo,2018-06-01,30.83354,3.737241,3.0,1350.326,198051.0,Morobo,2018-06-01,14,1.36,6.866918117050659e-06,0.0010071641959052851,0.00927257807332455,7.068886296963913e-05,0.010367866722554405,0.09545300957834094
Morobo,2018-10-01,30.83354,3.737241,3.0,1350.326,198051.0,Morobo,2018-10-01,8,0.25,1.2623011244578417e-06,0.00018514047718847152,0.0017045180281846596,4.039363598265093e-05,0.005924495270031089,0.05454457690190911
